"Longitude","Latitude","Count"
-91.6441,42.0083,265
-121.288,38.7521,265
-117.4291,47.6597,265
-111.8906,33.6119,265
-96.163,35.9664,264
-83.0457,42.3314,263
-122.0363,37.3688,263
-117.7596,33.7081,263
-117.1336,32.8897,263
-95.1157,29.6877,262
-118.3406,33.8359,262
-122.9007,47.0379,262
-82.6793,27.7709,261
-122.8213,49.1364,260
-122.3177,47.3078,260
-117.8531,33.7878,260
-121.951,37.3486,259
-122.0065,47.5013,258
-121.2908,37.9577,257
-97.7426,30.2678,257
174.7667,-36.8667,255
-76.0979,36.8463,254
-117.2425,33.2,253
-117.1702,32.7448,253
-106.2969,31.7435,253
-117.904,33.9782,252
-97.7528,30.4,252
-119.7724,36.7477,251
-77.0146,38.8933,251
-112.004,33.6238,251
-120.9969,37.6391,250
-79.2,43.75,250
-122.2087,47.6815,250
-88.1473,41.7859,249
-95.8302,29.7397,248
-90.4509,38.7283,248
-121.3716,38.4088,247
-78.7811,35.7915,246
-83.9207,35.9606,245
-115.1485,36.0877,245
-74.0776,40.7282,245
-82.7689,28.0288,243
-122.1215,47.674,242
-94.6811,38.9593,242
-117.2287,33.7825,241
-118.1445,34.1478,241
-122.065,37.9063,241
-117.9055,33.6793,239
-71.4128,41.824,238
-75.7,45.4167,238
-122.3255,37.563,238
-78.6636,35.6838,238
-81.8406,26.6217,237
-118.2017,33.9485,237
-121.9854,37.3501,236
-74.0321,40.7458,233
-0.4667,51.75,233
-77.426,43.1005,231
-96.6985,33.1769,231
-118.309,33.8884,230
-121.8962,37.5155,230
-74.0018,40.7421,230
-117.6141,33.4802,229
-90.6646,42.5006,228
-75.978,36.8529,228
116.3883,39.9289,227
-77.5693,37.5023,227
-73.9725,40.7528,226
-90.1323,32.4285,225
-83.1265,40.1176,225
-119.6753,39.3855,224
-0.3667,50.8,224
-112.2374,33.5806,224
-121.4652,38.5749,224
-117.8734,33.6275,224
-117.6675,33.6054,224
-74.0166,41.0605,223
-74.3291,40.7871,222
-122.3151,47.8209,222
-78.9019,35.9954,222
-117.1008,32.7773,221
-117.5931,34.1064,221
-73.9802,40.7252,221
-86.9162,40.4249,221
-94.7336,38.9536,221
-121.1488,38.6729,220
-79.4359,43.8777,220
-70.8008,43.0677,220
-82.8001,27.9658,220
-122.4209,37.7957,218
-81.8315,41.2388,218
-88.2909,41.9352,218
-118.5367,34.2283,218
-98.014,29.8729,217
-105.2706,40.015,217
-92.2896,34.7465,217
-147.7164,64.8378,217
-82.3024,27.9003,216
-70.2553,43.6615,216
-122.0214,37.3697,216
-85.8565,37.7153,216
-122.3933,37.7697,216
-76.2852,36.8468,215
13.4,52.5167,215
-122.2672,37.498,215
-77.6156,43.1548,215
-73.5387,41.0534,215
-117.2306,33.9375,215
-75.178,40.1012,214
34.7667,32.0667,213
-75.4902,40.6084,213
-81.4336,28.6185,213
-87.2169,30.4213,212
-73.9782,40.7449,212
-74.1764,41.078,212
-97.1081,32.7357,211
-117.8797,33.7693,210
-111.6343,33.2487,210
-117.9992,33.6603,210
-123.0548,46.1933,210
-92.1084,46.7748,210
-84.2941,34.0754,208
-121.8833,37.3422,208
-2.1335,57.2074,208
-118.7843,34.2521,208
-122.4017,37.7909,208
-73.968,40.7588,208
-121.9567,37.2803,207
-2.2167,53.5,206
-77.3411,38.9687,206
-96.8467,32.8326,206
-81.4246,28.3069,205
-122.4128,37.7758,205
-87.6376,41.8824,204
-82.3248,29.6516,204
77.2,28.6,203
-80.1248,26.2379,202
-104.8582,39.569,201
-118.3719,34.1073,201
-122.0311,37.978,200
-79.7616,43.6885,200
-84.0659,34.0535,200
-82.394,34.8526,200
-117.1649,32.8072,200
-123.0867,44.0521,199
-118.4682,34.0119,198
-122.143,37.4419,198
-92.4127,34.7888,198
-97.7073,30.384,197
-121.8705,37.4404,197
-71.1962,42.1818,197
-78.8986,35.994,197
26.1,44.4333,197
